App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated,Current Ver,Android Ver
US Mission - buy gourmet movie KTV,LIFESTYLE,3.8,6554,76M,500000,Free,0,Teen,Lifestyle,"June 20, 2018",9.4.2,4.1 and up
Weather Crave,WEATHER,4.2,133338,44M,5000000,Free,0,Everyone,Weather,"June 26, 2018",6.1.3,4.1 and up
BJ Bridge Standard American 2018,GAME,1.0,1,4.9M,1000,Free,0,Everyone,Card,"May 21, 2018",6.2-sayc,4.0 and up
TunnelBear VPN,TOOLS,4.4,139480,Varies with device,5000000,Free,0,Everyone,Tools,"April 19, 2018",v150,4.1 and up
PAC-MAN Pop,FAMILY,4.3,24877,54M,5000000,Free,0,Everyone,Puzzle;Action & Adventure,"June 20, 2018",2.1.6579,4.1 and up
BJ's Wholesale Club,SHOPPING,4.2,4099,17M,100000,Free,0,Everyone,Shopping,"July 27, 2018",2.0.10,4.1 and up
Community by C Space,LIFESTYLE,4.7,707,26M,5000,Free,0,Everyone,Lifestyle,"July 17, 2018",2.2.0,4.4 and up
codeSpark Academy & The Foos,FAMILY,4.1,4522,57M,500000,Free,0,Everyone,Educational;Education,"June 21, 2018",2.19.01,4.1 and up
Safety stepping stone,LIFESTYLE,3.7,4212,20M,1000000,Free,0,Everyone,Lifestyle,"July 25, 2018",3.4.5,2.3 and up
Phonto - Text on Photos,PHOTOGRAPHY,4.3,307453,17M,10000000,Free,0,Everyone,Photography,"October 26, 2017",1.7.16,4.0.3 and up
Bubble Shooter,GAME,4.5,148895,46M,10000000,Free,0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up
bpresso PRO,MEDICAL,4.4,515,Varies with device,1000,Paid,549,Everyone,Medical,"April 19, 2017",Varies with device,Varies with device
K-Chiing VPN (Free),TOOLS,3.7,43,10M,5000,Free,0,Mature 17+,Tools,"July 24, 2018",2.1.2,4.1 and up
Pink Roses Live Wallpaper,PERSONALIZATION,4.2,33074,3.3M,1000000,Free,0,Everyone,Personalization,"May 4, 2018",4.1,4.1 and up
EU Exit poll,LIFESTYLE,5.0,10,9.4M,100,Free,0,Everyone,Lifestyle,"July 15, 2016",1.6,4.1 and up
"Ruler(cm, inch)",TOOLS,3.4,2889,2.5M,500000,Free,0,Everyone,Tools,"July 27, 2016",1.1.0,2.3 and up
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17M,500000,Free,0,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up
FC Zenit official Android app,SPORTS,4.5,5675,49M,100000,Free,0,Everyone,Sports,"April 18, 2018",3.0.10,4.1 and up
Granny,GAME,4.5,1137267,59M,50000000,Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up
Counter Online FPS Game,GAME,4.2,41089,42M,5000000,Free,0,Teen,Action,"July 25, 2018",2.7,4.1 and up
Shoot Strike War Fire,GAME,4.1,82827,20M,10000000,Free,0,Teen,Arcade,"July 13, 2018",1.1.5,4.0 and up
El Nuevo Día,NEWS_AND_MAGAZINES,4.1,8011,13M,500000,Free,0,Everyone 10+,News & Magazines,"June 13, 2018",4.11.2,4.1 and up
Eg Call,COMMUNICATION,4.2,91,6.0M,10000,Free,0,Everyone,Communication,"February 26, 2017",3.8.6,2.2 and up
Classical music for baby,PARENTING,4.8,1940,38M,100000,Free,0,Everyone,Parenting;Music & Video,"July 18, 2018",1.04,4.2 and up
Fists For Fighting (Fx3),SPORTS,3.9,138739,44M,10000000,Free,0,Teen,Sports,"July 7, 2018",1.998,4.1 and up
"G Theme 2 for LG V30, LG G6",PERSONALIZATION,4.3,25,15M,500,Paid,149,Everyone,Personalization,"December 13, 2017",1.0.2,7.0 and up
Casa CF,HEALTH_AND_FITNESS,4.7,12,6.3M,500,Free,0,Everyone,Health & Fitness,"July 12, 2018",3.1.2,4.1 and up
CA Service Management,BUSINESS,3.4,91,8.3M,10000,Free,0,Everyone,Business,"March 20, 2018",3.1.13,5.0 and up
Teladoc Member,MEDICAL,4.0,2094,23M,500000,Free,0,Everyone,Medical,"July 26, 2018",3.19,4.3 and up
Guardian Hunter: SuperBrawlRPG,FAMILY,4.5,364013,27M,1000000,Free,0,Everyone 10+,Role Playing,"August 6, 2018",14.4.4.00,4.1 and up
HTC File Manager,PRODUCTIVITY,4.2,13500,Varies with device,10000000,Free,0,Everyone,Productivity,"December 11, 2017",Varies with device,Varies with device
